"","net","meanInfections"
"1","612.txt",3.70294067652558
"107","667.txt",3.87789487600808
"213","693.txt",3.91079192399947
"319","665.txt",3.84975919315542
"425","46.txt",2.85322465322465
"439","663.txt",3.95431469205054
"545","623.txt",3.7199576935426
"651","41.txt",2.47158587158587
"665","520.txt",3.49067704067704
"709","510.txt",3.06013286013286
"753","652.txt",3.68522295880786
"859","634.txt",3.70795323625512
"965","689.txt",3.80629875158177
"1071","51.txt",2.87704522704523
"1115","6108.txt",4.16144068596899
"1221","626.txt",3.56105728369879
"1327","668.txt",3.85908550059493
"1433","622.txt",3.62989971103179
"1539","6100.txt",4.05275841879615
"1645","649.txt",3.58284888662247
"1751","6105.txt",4.09596388841672
"1857","692.txt",3.97037037037037
"1963","640.txt",3.83421157006063
"2069","6111.txt",4.33059474568909
"2175","519.txt",3.3975338975339
"2219","55.txt",3.0472608972609
"2263","516.txt",3.26880061880062
"2307","680.txt",3.85041078814664
"2413","673.txt",3.97846336902941
"2519","639.txt",3.75186884998206
"2625","6112.txt",4.41134530757172
"2731","44.txt",2.61811811811812
"2745","66.txt",3.51774227057246
"2851","637.txt",3.7441082592026
"2957","65.txt",3.39900655372353
"3063","694.txt",3.99651538330784
"3169","674.txt",4.06033769618675
"3275","629.txt",3.66111961017621
"3381","515.txt",3.16950586950587
"3425","654.txt",3.66520105010671
"3531","641.txt",3.7576992086426
"3637","616.txt",3.52824711503957
"3743","54.txt",3.05074165074165
"3787","610.txt",3.63812302868907
"3893","661.txt",3.88624473530134
"3999","651.txt",3.68158913630612
"4105","621.txt",3.64808582167073
"4211","677.txt",3.68911930798723
"4317","687.txt",3.98570457249703
"4423","613.txt",3.74735867943415
"4529","58.txt",3.27046137046137
"4573","699.txt",3.97037792509491
"4679","659.txt",3.79402987893554
"4785","698.txt",3.98528528528529
"4891","685.txt",3.87203429844939
"4997","675.txt",4.14029690067426
"5103","645.txt",3.9285379719342
"5209","6106.txt",4.07774378151737
"5315","68.txt",3.58834872608458
"5421","666.txt",3.93322945587097
"5527","517.txt",3.38855673855674
"5571","6104.txt",4.23686327837271
"5677","620.txt",3.53179216952802
"5783","617.txt",3.60574347932838
"5889","660.txt",3.78846204695261
"5995","657.txt",3.76650801745141
"6101","643.txt",3.82389181634465
"6207","43.txt",2.61518661518662
"6221","6109.txt",4.18446748635428
"6327","514.txt",3.28058968058968
"6371","61.txt",3.32578427484088
"6477","690.txt",3.80408899465503
"6583","625.txt",3.56140102366517
"6689","683.txt",3.86481953651765
"6795","672.txt",3.99504410070448
"6901","512.txt",3.07795522795523
"6945","656.txt",3.76032258673768
"7051","69.txt",3.53958109052449
"7157","691.txt",3.8973029633407
"7263","646.txt",3.67627627627628
"7369","642.txt",3.7338206130659
"7475","670.txt",4.03982284170963
"7581","521.txt",3.59378014378014
"7625","678.txt",3.77782310612499
"7731","6107.txt",4.08386310839141
"7837","669.txt",3.94358320584736
"7943","682.txt",3.88977845770299
"8049","614.txt",3.80807600052883
"8155","636.txt",3.76955823748277
"8261","611.txt",3.61325854156043
"8367","57.txt",3.18314223314223
"8411","638.txt",3.74400627042137
"8517","630.txt",3.6420061571005
"8623","6110.txt",4.24556820971915
"8729","695.txt",3.97910929797722
"8835","644.txt",3.86698963114057
"8941","635.txt",3.67565678886434
"9047","513.txt",3.18666848666849
"9091","653.txt",3.65839613198104
"9197","518.txt",3.30406315406315
"9241","688.txt",4.04772508357414
"9347","696.txt",4.06233780950762
"9453","627.txt",3.5407218539294
"9559","647.txt",3.76658734205904
"9665","658.txt",3.84796872344042
"9771","511.txt",3.16290381290381
"9815","64.txt",3.4211532287004
"9921","6102.txt",4.03335977486921
"10027","676.txt",3.68214063119723
"10133","662.txt",3.87099174646344
"10239","6101.txt",3.96695563488016
"10345","63.txt",3.46569588456381
"10451","679.txt",3.76268532683627
"10557","615.txt",3.4306344079929
"10663","45.txt",2.73931073931074
"10677","671.txt",3.90747539992823
"10783","56.txt",3.1495267995268
"10827","42.txt",2.48125268125268
"10841","52.txt",2.91622076622077
"10885","684.txt",3.87150546773188
"10991","59.txt",2.94438529438529
"11035","633.txt",3.63744499216197
"11141","655.txt",3.77643492549153
"11247","67.txt",3.49923130677848
"11353","6103.txt",4.13705403516724
"11459","53.txt",3.01708981708982
"11503","618.txt",3.55167242714413
"11609","664.txt",3.86575443367896
"11715","619.txt",3.55770109732374
"11821","648.txt",3.84018546848736
"11927","686.txt",3.95549322907813
"12033","632.txt",3.73159952405235
"12139","628.txt",3.53836666855535
"12245","650.txt",3.68754225924037
"12351","62.txt",3.38487921884148
"12457","681.txt",3.79798288854893
"12563","631.txt",3.64192683249287
"12669","697.txt",4.14724346988498
"12775","624.txt",3.45151566661001
